大丈夫、大丈夫。	It's okay.
氷が薄すぎてスケートができません。	The ice is too thin to skate on.
試しに左手で書いてみた。	I tried writing with my left hand.
トムは山の方を指さした。	Tom pointed towards the mountain.
わかります。	I understand.
トムはもう少しで片目を失った。	Tom almost lost an eye.
彼はあすは来られるかもしれない。	He may be able to come tomorrow.
何と言ったら良いか分かりません。	I don't know what I should say.
君のするべきでない事がいくつかある。	There are some things that you should never try doing.
気をつけて、トム。	"Be careful, Tom."
もうこれ以上我慢できない。	I can't put up with it any longer.
こちらをフロントにお渡しください。	Please hand this in at the front desk.
彼は本屋に立ち寄った。	He dropped in at the bookstore.
みんな、まだ寒い？	Are you all still cold?
時間があるか分かりません。	I don't know if I have the time.
すみません、遅くなりまして。	"Sorry, I'm late."
あなたの健康が心配です。	I am concerned for your health.
トムは高校の後輩です。	Tom and I went to the same high school. He was a year behind me.
彼女は良心にはじるところがなかった。	She had a clear conscience.
欲張っても食べきれないよ。	Your eyes are bigger than your stomach.
駅に向かってるとこだよ。	I'm on my way to the station.
洗う必要がある。	It needs washing.
以前はワインが好きではありませんでしたが、今はとても好きです。	"I didn't use to like wine, but now I'm quite fond of it."
彼はボールを投げつけた。	He threw the ball.
日本では、新学年は４月に始まる。	In Japan a new school year starts in April.
フォワードがゴールを決めた。	The forward kicked a goal.
トムは電車で行きたがっている。	Tom wants to go by train.
先月ボストン来ました。	I came to Boston last month.
うちのお父さん、ハゲてきちゃったんだ。	My father is getting bald.
トムもメアリーも歌がとても上手です。	Tom and Mary are both very good singers.
トムって無神経だと思う。	I think that Tom is insensitive.
１７歳の男の子は、父親と同じくらいの背のあるものが多い。	A boy of seventeen is often as tall as his father.
電話しよう。	Let's make a phone call.
もう開店してる？	Is it already open?
メアリーは私のことが大好きって思ってたけどね。	I thought that Mary loved me.
本は持っていっても構いませんよ。	It doesn't matter to me if you take that book.
まだ怒ってるでしょ。違う？	"You're still mad, aren't you?"
素晴らしい！	Wonderful!
何が起こったの？	What happened?
私の家の壁に本棚が作り付けになっている。	The bookshelves are built into the walls of my room.
さみしかったよ。	I've missed you.
少なくとも１００人の人が出席した。	There were at least 100 people present.
私が面倒をみます。	I will see to it.
言いたいことは分かるよ。	I know what you mean.
彼らから自発的な申し出がたくさんあった。	We had a lot of spontaneous offers from them.
トムがここに居たら良かったのに。	It would've been nice if Tom had been here.
この会社では英語かスペイン語どちらかの会話能力が必須になっている。	You must be able to speak either English or Spanish in this company.
彼女は写真家だ。	She's a professional photographer.
どうぞ、お入り下さい。	Please come in.
アラビア語は非常に重要な言葉です。	Arabic is a very important language.
明日学校でね。	See you tomorrow at school.
トムはメアリーから電話をもらった。	Tom got a call from Mary.
警察はすりを現行犯で取り押さえた。	The police arrested the pickpocket in the act.
トムは一時間はここにいる。	Tom will be here within the hour.
トムの部屋は汚い。	Tom's room is dirty.
新婦は白いウエディングドレスに身を包んでいた。	The bride was wearing a white wedding dress.
彼は無礼とまでは言わなくとも、礼儀正しくはなかった。	"He was impolite, not to say rude."
やり方がわからないんでしょう？	"You don't know how to do it, do you?"
その眼鏡、よく似合ってるよ。	Those glasses suit you.
この辞書はほとんど使い物にならない。	This dictionary is nearly useless.
トムは見かけほど歳は行っていない。	Tom isn't as old as he looks.
幸せって何だ？	What is happiness?
彼は、何かをするとき最後の瞬間まで待つというのが好きではない。	He doesn't like to wait until the last moment to do something.
パーティーに出るかどうかまだ決めていない。	I haven't decided yet whether I will attend the party.
やめた。	I quit.
昨日の晩何を食べたか覚えていない。	I can't remember what I ate last night.
トムは私の期待を裏切った。	Tom disappointed me.
私は試験でいくつか間違えた。	I made some mistakes on the test.
トムが自分の傘を私に貸してくれたの。	Tom lent his umbrella to me.
支払いにカードは使えますか？	May I use a credit card?
私はそのクラブの会長と知り合いです。	I am acquainted with the chairman of that club.
この若者は、自分の国についてろくに知らない。	This young man knows little about his country.
トムは中古車販売店を探すため、職業別電話帳を見た。	Tom looked in the yellow pages to find a used car dealer.
今度の英語の試験の成績はよかった。	The results for the English exam this time were very good.
トムは休学にはならなかった。	Tom wasn't suspended from school.
あの女の人は誰ですか。	Who is that woman?
論文はゆっくり仕上げてはどうですか。	Why don't you take your time in finishing your paper?
私は外にいたい。	I want to stay outside.
彼はその政党の主導権をにぎった。	He assumed the leadership of the political party.
お会いできて光栄です。	It's an honor to meet you.
私と彼は十年来のつきあいだ。	I have been associated with him for ten years.
その子供は、母親を見るとすぐに泣きやみました。	"As soon as the child saw his mother, he stopped crying."
彼女には息子が七人いる。	She has seven sons.
私の仕事はまだ未完成です。	My work isn't complete yet.
列車は今着いたばかりです。	The train has just arrived here.
部屋を変えられますか。	Could I change rooms?
この壁に寄りかかってはいけない。	Don't lean against this wall.
それって、トムの自転車？	Is that Tom's bicycle?
彼を見るといつでもつい同情してしまうんです。	I cannot help but sympathize with him any time I see him.
遅れてごめん。寝坊しちゃった。	I'm sorry I'm late. I overslept.
明日、彼は月に着陸する。	"Tomorrow, he will land on the moon."
彼は二重人格者だ。	He has a split personality.
トムはメアリーに花束をあげた。	Tom gave a bouquet of flowers to Mary.
母は弟に黄色い傘を買ってあげた。	My mother bought my brother a yellow umbrella.
誕生日のパーティーに招いてくださってありがとうございます。	Thank you for inviting me to your birthday party.
誰一人来なかった。	Nobody came.
彼は日本に帰っていった。	He went back to Japan.
骨がたくさんある魚は嫌いだ。	I don't like fish with lots of bones.
日本で一番人気のあるスポーツは何だと思いますか。	What do you think is the most popular sport in Japan?
彼の多くの収入が毎年海外に旅行することを可能にしています。	His large income enables him to travel abroad every year.
望みは叶いましたか。	Did you get your wish?
彼は明らかに潔白である。	He is above suspicion.
ちょっと落ち着け。	Get a hold of yourself.
この本はたいへんおもしろい。	This book is very interesting.
トムはメアリーほど早起きではない。	Tom doesn't get up as early as Mary.
私は外国に行きたい。	I wish to go abroad.
クリスマスはトムと一緒に過ごさないの？	Aren't you going to spend Christmas with Tom?
空がなぜ青いか知ってる？	Do you know why the sky is blue?
彼は私よりピアノがうまい。	He's better at the piano than I am.
欧州への飛行には疲労がつきものである。	Fatigue follows a flight to Europe.
いつからここにいるの？	How long have you been in here?
すぐに靴を履いた。	I put on my shoes at once.
君の住所をここにお書きなさい。	Write your address here.
私は一番下の階に住んでいます。	I live on the bottom floor.
彼は私に禁煙を命じた。	He told me not to smoke.
ヤバイ！財布忘れた！	Oh no! I forgot my wallet.
彼の頬は真っ赤だった。	His cheeks were bright red.
今すぐ行きたい。	I want to go right now.
あり得ねぇー。	This is horrible.
私が間違ってると言ってるんですか？	Are you suggesting that I'm wrong?
トムは今日、欠勤なの？	Is Tom absent today?
彼が忙しいのは分かっています。	I know he is busy.
私たちは計画を変更しなければならない。	We have to change our plan.
あなたの病気について知らなかったので、病院へ見舞いにいけなかった。	"If I had known about your illness, I could have visited you in the hospital."
トムはメアリーが隠していた手紙を見つけた。	Tom found the letters that Mary had hidden.
私は彼にがまんできない。	I can't stand him.
トムは病気だ。	Tom's sick.
彼にはあさってここに来てもらいましょう。	I will have him come here the day after tomorrow.
トムは円形脱毛症だ。	Tom has a bald spot.
また来週。	See you next week.
私が知っている大部分の人はフランス語を話せます。	Almost everyone that I know can speak French.
ビールがもう一杯欲しい。	I'd like another beer.
トムは一度も時間を守ったことがない。	Tom has never been punctual.
駅まではタクシーで何分くらいかかりますか？	How long does it take to the train station by taxi?
トムのいない人生なんて考えられない。	I can't imagine life without Tom.
１人少年が両手をポケットにつっこんで歩いていた。	A boy was walking with his hands in his pockets.
自分の時間は上手に使わなければならない。	You should make good use of your time.
彼は私の申し込みを快く承諾した。	He readily agreed to my proposal.
彼はいつも会議に遅れてくる。	He tends to be late for meetings.
全員に十分な食事はありますか？	Is there enough food for everyone?
これは我々の問題とは全く無関係かもしれない。	This might not have anything to do with our problem.
連絡してくださいね。	Please keep in touch.
私の部屋を覗かないでよ。	Don't look into my room.
こういった話にはすごく興味があるんだ。	I am very interested in these stories.
水泳は健康によい。	Swimming is good for your health.
８時なのであなたはすぐに学校に行かなくてはいけないと思う。	"Seeing that it is 8 o'clock, I think you should leave for school soon."
その町には狭い小路が多い。	The town has many narrow lanes.
腕時計を買って、次の日になくしてしまった。	I bought a watch and I lost it the next day.
ひと休みしたいよ。	I want to take a rest.
この問題を解くの、私には難しいな。	This problem is difficult for me to solve.
私には夢があります。	I have a dream.
これは実際の出来事です。	This is an actual happening.
風が強すぎて、髪の毛がぐしゃぐしゃになっちゃった。	My hair is a mess because the wind is very strong.
なんでトムは私と話をしたかったんだろう？	Why did Tom want to talk to me?
ネイティブの子どもは、何年も学んだ非ネイティブが知らず今後も知り得ないたくさんのことを自身の言語について知っているものだ。	A child who is a native speaker usually knows many things about his or her language that a non-native speaker who has been studying for years still does not know and perhaps will never know.
現代の科学技術のおかげで、私たちの生活は快適になった。	Modern technology has made our lives more comfortable.
トムは、他の人と普通に付き合うことができないようです。	Tom seems to be unable to interact normally with other people.
この文を英語に訳してください。	Translate this sentence into English.
私には夜更かしの習慣がある。	I usually stay up late.
応募者にふさわしい職務遂行能力があるか？	Does the applicant have suitable abilities to carry out the job?
今年の夏はほとんど雨が降らなかった。	We have had little rain this summer.
私は彼にどこへ駐車したら良いか尋ねた。	I asked him where I should park my car.
そんなの不公平じゃない？	"That's not fair, is it?"
トムが入院したんだって。	I heard that Tom was hospitalized.
ボストンは夜中の１２時をちょっと過ぎてるよ。	It's just after midnight in Boston.
この湖で泳いでもいいですか。	May I swim in this lake?
「手伝ってくれてありがとう。」　「どういたしまして。」	"Thanks for the help. ""Don't mention it."""
今日の午後テニスをしましょう。	Let's play tennis this afternoon.
彼は私を好きになったと告白した。	He confessed that he had fallen in love with me.
テレビがつかないよ。	The TV doesn't work.
今朝から停電している。	The power has been off since this morning.
トム、電話だよ。	"Tom, you're wanted on the phone."
賢い犬は決して理由なく吼えたりはしない。	A smart dog never barks for no reason.
どの辞書を参考にしたんですか。	Which dictionary did you refer to?
列車が止まったのは嵐のせいだった。	It was because of the storm that the trains were halted.
あなたがいなくてとても寂しい。	We miss you very much.
トムに諦める気はなかった。	Tom had no intention of giving up.
もっと気楽に生きなよ。	Don't take life so seriously.
彼は演説した。	He gave a speech.
風やら雨やらで、我々の散歩は台無しだった。	Our walk was spoiled by the wind and the rain.
今度、埋め合わせするよ。	I'll make up for it.
五年前の今日、結婚しました。	We were married five years ago today.
彼は喫煙をやめた。	He quit smoking.
赤ちゃんは泣きながら眠ってしまった。	The baby cried himself to sleep.
好きな俳優は誰ですか。	Who's your favorite actor?
彼女は毎日ピアノの練習をした。	She practiced the piano every day.
今夜はレストランに行こうよ。	Why don't we eat at a restaurant tonight?
好きな野菜は何ですか？	What vegetables do you like?
例の場所のこと、思い出しています。	I remember that place.
警戒が必要だ。	We need to stay alert.
両手でそのボールを持ちなさい。	Hold the ball with both hands.
ドライブするのはどうですか。	How about going for a drive?
プライバシーなんて存在しない。	Privacy doesn't exist.
偏頭痛がします。	I have a migraine.
彼はある農夫から卵と牛乳を買った。	He bought eggs and milk from a farmer.
ジーンズは仕事をしやすい。	It is easy to work in jeans.
昨日になってようやく真相を知りました。	I didn't know the truth until yesterday.
高速道路で悲惨な事故があった。	There was a terrible accident on the freeway.
料理が得意ですか。	Are you good at cooking?
皆さんは教員なんですか？	Are you teachers?
いつでも相談にのりますよ。	You can consult with me any time.
私がどうやるか見ていなさい。	Watch how I do it.
この人形、自分で作ったの？	Did you make this doll by yourself?
あなたはカイロへ行ったのですか、それともアレクサンドリアへ行ったのですか。	Did you go to Cairo or Alexandria?
４は日本語では縁起の悪い数字だ。	Four is an unlucky number in Japanese.
次に何をやるべきか教えてくれませんか。	Will you tell me what I should do next?
このペンを貸してください。	Please lend me this pen.
彼女は楽譜なしでピアノを弾く。	She plays the piano by ear.
彼は大変興奮した。	He was very excited.
全く問題なく聞こえてます。	I can hear you just fine.
トムはいつもニコニコしてるね。	Tom is always smiling.
その男の子は泣き始めました。	The boy started crying.
トムでも同じことをしただろう。	Tom would've done the same thing.
私は猫より犬の方が好きです。	I like dogs more than cats.
ヨーロッパには一度も行ったことがないんだよ。	I have never been to Europe.
アメリカは移民の国である。	America is a land of immigrants.
トムが私に嘘をついたって認めたよ。	Tom admitted that he lied to me.
本当に本当？	Are you absolutely sure?
君は海外へ行くつもりですか。	Do you plan to go overseas?
彼は彼女からの手紙を怒って引きさいた。	He angrily tore up the letter from her.
女の子たちは並んで座っていました。	The girls were sitting side by side.
私には娘２人と息子２人がいます。	I have two daughters and two sons.
お前のせいで全てが台無しだよ。	Everything is ruined because of you.
お誕生日おめでとうございます。	Happy birthday!
トムはあまりテニスが得意じゃないね。	Tom isn't really good at tennis.
あなたが恐れているものは何ですか？	What is it that you're afraid of?
食事制限をしてるんなら、小皿を使うといいよ。	It's good to use small plates if you are dieting.
何故私がタバコを止めたかがあなたにとって本当に重要？	Is it really important to you why I quit smoking?
新しい学校の建設地については論争があった。	There was a controversy about the location of the new school.
彼は今夜来るでしょうか。	Will he be coming this evening?
彼女は、もっと働くよう、彼を促した。	She prodded him to work harder.
明日は忙しくないよ。	I won't be busy tomorrow.
トムはスピーチをするのが嫌いなんだ。	Tom doesn't like giving speeches.
彼の新しい家はいいと思うが、こんなに小さな家だとは思っていなかった。	"I like his new house, but I had not expected it to be so small."
和平交渉がすでに秘密裡に開始されたとのことです。	It's rumored that secret peace talks have already begun.
私はあの少女と以前会ったことがある。	I've met that girl before.
トムは注文するものを決められなかった。	Tom couldn't decide what to order.
率直に言うと、私は彼が何を言っているのかなかなかわからなかった。	"Frankly speaking, it was difficult for me to make out what he was saying."
長い間ボストンに居ましたか？	Were you in Boston for a long time?
家を片付ける必要がある。	I need to declutter my house.
私は２、３日仕事を休む。	I'm taking a couple of days off.
ふとしたことからその噂は嘘だと分かった。	The rumor turned out to be false.
なんで泣いてるの？	What are you crying for?
カメラ用の電池を下さい。	Please give me batteries for a camera.
今週はもう忙しくて忙しくて。	I've been very busy this week.
ほら、ここにあるよ。	Here it is.
彼等は私にたくさんの美しい写真を見せてくれました。	They showed me a lot of beautiful photos.
トムは自分の評判を非常に気にしている。	Tom cares a lot about his reputation.
状況は思っていたより悪い。	The situation is worse than I thought.
彼らは言い争いをした。	They quarreled.
外で泣くな。	Don't cry in public.
彼女は幽霊を見てびっくりした。	She was surprised when she saw the ghost.
お腹と背中がくっつきそうなくらい腹ぺこだよ。	I'm so hungry that I could eat a horse.
嵐はもっと激しくなってきた。	The storm became even more violent.
私達にはやるべき宿題がたくさんあります。	We have a lot of homework to do.
男の子はたらいの中でジャブジャブ水をはねかしていた。	The boy splashed about in the tub.
トムは演説した。	Tom gave a speech.
彼は文字どおりのばかだ。	He is a real fool.
私は30才です。	I'm thirty.
トムは美しい木製家具を造ります。	Tom makes beautiful furniture out of wood.
何でトムが行けないのか教えてよ。	Tell me why Tom can't go.
彼は本棚から本を１冊取った。	He took a book from the bookshelf.
食べ終えなさい。	Finish eating.
トムは爪を切っている。	Tom is clipping his nails.
沢山の選択肢があった。	There were plenty of choices.
食事が終わって、私は会計を求めた。	"After the meal, I asked for the bill."
話し合いはちょっと中断した。	There was a brief break in the discussion.
電話が鳴ってるよ。	Your phone's ringing.
その医者は彼に死の危険が迫っていることが信じられなかった。	The doctors did not believe he was in danger of dying.
僕にやらせて。	Let me try it.
トムは正午についた。	Tom arrived at noon.
煙草を吸ってもいいですか？	May I smoke?
僕はただで切符をもらった。	I got a ticket for free.
トムは一人旅に出かけた。	Tom went on a trip by himself.
この箱には何が入ってると思う？	What do you think is in this box?
１００ドルなんてはした金さ。	One hundred dollars is just chicken feed.
私が買いたかったコートは３００ドルの値段がついていた。	The coat I wanted was priced at three hundred dollars.
彼女は弁護士の友人との婚約を発表をした。	She announced her engagement to her lawyer friend.
彼は渋谷に買い物に行くと私に言いました。	He mentioned to me that he would go shopping in Shibuya.
それを着てみてもいいですか。	May I try it on?
来年私たちは大学生活が始まります。	We'll be starting college next year.
去年は雨が多かった。	We had a lot of rain last year.
私は娘が試験に合格することを確信している。	I'm sure that my daughter will pass the exam.
トムは少しだけ肩の力を抜いた。	Tom relaxed a bit.
助けて！	Help me!
コーヒーがいるんだよ。	I need coffee.
あなたは何を持っていますか。	What do you have?
悲しいですか。	Are you sad?
そのタンクにはガスが入ってるんですか？	Is there gas in the tank?
１１時ごろには家に着くと思う。	We'll be home at about 11:00.
なんでアイツら笑ってんだ。	Why are they laughing?
やっぱりトムは何か隠してると思う。	I still think Tom is hiding something.
私たちは3時間見張っとかないといけない。	We have to stand watch for three hours.
トムは私たちの秘密を誰にも言っていないと断言した。	Tom swore that he didn't tell anybody our secret.
大学事務室はどちらですか。	Where is the registrar's office?
行ってもよろしい。	You can go.
トムは信頼できる男だ。	Tom is a man that you can trust.
目にクマができてるよ。	You've got bags under your eyes.
姉はすごく頭がいい。	My sister has a very good brain.
遅刻したくないんだよ。	I don't want to be late.
よし、これで取引はまとまった。	All right. It's a deal.
ダンスに行っている間、私の母が赤ん坊の面倒を見てくれます。	My mother will attend to the baby while I go to the dance.
誰かいるの？	Is somebody there?
それは値段は安いが、その反面品質がよくない。	"The price is low, but the quality isn't very good."
彼はどこかへ行った。	He went to some place or other.
日曜日は何してるの？	What do you do on Sunday?
朝食に何を食べましたか。	What did you have for breakfast?
長距離を歩くのには慣れていない。	I am not accustomed to walking long distances.
トムはメアリーの喉元をつかみ、絞め殺した。	Tom grabbed Mary by the throat and choked her.
彼女は彼の近くに立っていた。	She stood close to him.
赤ちゃんは母親の腕の中でぐっすり眠っていた。	The baby was sound asleep in her mother's arms.
みんなはどこ？	Where is everybody?
きみがこんなに料理がじょうずだとは知らなかった。	I didn't know you were such a good cook.
クリスマス以来、ずいぶん太ってしまった。	I've put on a lot of weight since Christmas.
車のキーを忘れてきた。	I have left my car keys behind.
彼はうちのチームのＭＶＰだ。	He's the most valuable player on our team.
その老人は年金で暮らしている。	The old man lives on his pension.
あなたの大学にはどれくらい学生がいますか？	How many students are there in your university?
家を買う余裕なんてないよ。	I can't afford to buy a house.
彼は無断でやめた。	He quit without notice.
何しているのですか。	What're you doing?
俺の財布、見つけてくれたの誰？	Who found my wallet?
ただちに行動を起こさなければならない。	We must act at once.
彼は星を見上げた。	He looked up at the stars.
彼女は自殺をしようとした。	She tried to commit suicide.
急ぎなさい。	Get a move on!
トムは、30年前にこの家を購入しました。	Tom bought this house thirty years ago.
終日雨が降ったりやんだりしていた。	It rained on and off all day.
今日の午後、スーツケースを取りに戻ります。	I'll come back for my suitcases this afternoon.
君はこの機会を利用する方がよい。	You should take advantage of this opportunity.
助けてくれ。	Help me!
私はこの会社で働いています。	I work at this company.
10月に君らにまた会うのを待ちきれない。	I can't wait to see you guys again in October.
最後に絵画のギャラリーに行ったのはいつですか。	When was the last time you went to an art gallery?
注意深く運転してください。	Drive carefully.
トムの書く字って、すごく読みやすいんだ。	Tom has very easy-to-read handwriting.
お子さんはいらっしゃるの？	Do you have any kids?
彼は前と同じ返事をした。	He gave the same answer as before.
わたしがあなたと同じくらい頭が切れるといいんだけどなあ。	I wish I were as smart as you are.
そのための時間はないし、それにお金もないんだ。	"I have no time for that, and besides, I don't have any money."
僕は急に悲しくなった。	I suddenly became very sad.
トムはメアリーのスーツケースを運んであげた。	Tom helped Mary carry her suitcases.
トムがメアリーの両頬にキスをしたんだ。	Tom gave Mary a kiss on both cheeks.
これは君のアイデアだったよね？	"This was your idea, wasn't it?"
暖かくなってきたようだね。	I think it's getting warmer.
明日の準備できた？	Have you gotten everything ready for tomorrow?
でも、来なかったらどうするの。	But what will you do if he doesn't come?
そろそろ時間だ。	It's almost time.
話題は多様多種だった。	We talked about a variety of topics.
どうぞおかけ下さい。	Please have a seat.
おい、おまえの犬、いま俺を噛んだぞ。	"Hey, your dog just bit me."
彼はカーテンの陰からでてきた。	He came out from behind the curtain.
当ててみて。	Try to guess.
この扉は内側から施錠されている。	This door is locked from the inside.
男子トイレは2階です。	The men's room is on the second floor.
トムは気を失っている。	Tom is losing consciousness.
遅すぎますか？	Is it too late?
サイダーをください。	"I'd like some cider, please."
苦しかったらギブアップして、お姉さんのお願いを聞きなさいっ。	"If you can't take it, give up and do what I, your older sister, asked of you."
やれやれ	What a relief!
今日のＤＪは誰ですか。	Who's the DJ today?
彼は急に泣き出した。	He burst into tears.
トムって、去年の夏は何キロ痩せたの？	How many kilograms did Tom lose last summer?
彼はドイツなまりの英語をはなす。	He speaks English with a German accent.
私はロックが好きです。	I love rock.
彼は父の前だと落ち着かなかった。	He felt uneasy in his father's presence.
トムは野球が上手かった例がないんだ。	Tom has never been good at baseball.
彼が一番成功しそうだ。	He's the most likely to succeed.
ドアを開けてもらえる？	Can you open the door?
この企画は採算が取れないかもしれない。	This project may not pay off.
万事準備ができました。	Everything is ready.
スキーは滑る？	Do you ski?
私がこのビルのオーナーです。	I'm the owner of this building.
灰皿を下さい。	I need an ashtray.
彼は飛行機での旅行が大嫌いだ。	He hates air travel.
盗みをするくらいなら飢え死にした方がましだ。	I would rather starve than steal.
３角形のすべての角の和は１８０度に等しい。	The sum of all the angles in a triangle equals 180 degrees.
トムね、トムの部屋を見せてくれたんだ。	Tom showed me his room.
良い御返事をお待ちしております。	I am looking forward to receiving your favorable answer.
私たちは皆あなたがどこに住んでいるか知っている。	We all know where you live.
以前から児童文学を書いてみたいと思っていました。	I've always wanted to write a children's book.
１０年といえば相当な時間だ。	Ten years is a long time.
今日はむちゃくちゃ寒いよ。	It's extremely cold today.
トムには１３歳の姉がいる。	Tom has a 13-year-old sister.
彼女はもう少しで車にぶつかるところだった。	She was almost hit by a car.
ドーナツが一つ欲しい。	I want a donut.
彼はそれを蹴飛ばした。	He kicked it.
切符をなくしちゃった。どうしよう。	I lost my ticket. What should I do?
りんごは１ダース単位で売られている。	Apples are sold by the dozen.
iPadアプリを作るのがこんなに大変だとは思ってもみなかった。	I never thought it'd be this hard to create an iPad app.
トムは悲しんでいるようだった。	Tom looked like he was sad.
生卵は食べても安全ですか？	Is eating raw eggs safe?
察が来た、ずらかれ！	Here come the police. Let's get out of here.
あの煙を見なさい。	Look at that smoke.
近所におもちゃ屋があります。	There is a toy shop in the neighborhood.
リンゴの木が種から成長するとは知らなかった。	I didn't know apple trees grow from seeds.
首突っ込んでこないでよ。	Don't interfere.
トムとメアリーなら家にいないよ。	Tom and Mary aren't home.
日本の寺院の大半は木造だ。	The majority of Japanese temples are made out of wood.
時間は最大限に活用すべきだ。	You must make the most of your time.
ケーキ一切れちょうだい。	I want a piece of cake.
堤防が洪水を防いだ。	The levee kept the floodwater back.
トムは電車で居眠りした。	Tom fell asleep on the train.
口をゆすがなくちゃ。	I need to rinse my mouth.
僕は英語を鍛えなおさなければならない。	I must brush up my English.
新聞に家の売却の広告を出した。	I put an advertisement in the newspaper saying my house was for sale.
彼は罪を白状した。	He confessed his guilt.
私は1988年に生まれました。	I was born in 1988.
そんなことが可能なんですか？	Is such a thing possible?
忘れずに手紙を出しておいてくださいね。	Please remember to mail the letter.
人は必ず死ぬ。	Man is mortal.
彼はその事について、それ以上話したがらなかった。	He didn't want to talk about it anymore.
本を返却しましたか。	Did you take back the books?
私は息子を誇りに思っている。	I'm proud of my son.
本当なんじゃないですか？	Isn't it true?
やめろ！	Stop it.
多くの人が、子どもたちはテレビに時間を費やし過ぎると思っている。	Many people think that children spend too much time watching TV.
トムはどうして来れないの？	Why can't Tom come?
彼はその件についてあなたに助言してくれるだろう。	He will advise you on that matter.
独りで旅をしてるんですか？	Are you traveling by yourself?
彼らは雨宿りをする場所を捜した。	They sought shelter from the rain.
トムは家に帰らなければいけない。	Tom has to go home.
私は酒もたばこもやらない。	I neither smoke nor drink.
大丈夫ですよ。もうすぐ救急車がここに来ますからね。	Don't worry. The ambulance will be here soon.
審議会の新しいメンバーを任命する必要がある。	We have to appoint new members of the examining board.
何するつもり。	What do you intend to do?
彼女は物音をたてないようにと、私たちに言った。	She told us not to make a noise.
あの男は信用しない方がいいよ。	You shouldn't trust that man.
エルフって何？	What's an elf?
トムとメアリーは素敵なカップルだね。	Tom and Mary are a nice couple.
オーストラリアのどこで育ったのですか。	Where in Australia did you grow up?
彼は危うく溺死するところだった。	He was almost drowned.
節水をお願いします。	Please don't use more water than you need.
彼女はおとといアメリカへむかった。	She left for America the day before yesterday.
誰が勝ったの？	Who won?
あなたが悪いと思います。	I think that you're to blame.
暗くなってきたね。雨降るのかな？	It's getting dark. I wonder if it's going to rain.
右腕が上がりません。	I can't lift my right arm.
前よりもずっと良さそうですね。	You look much better.
切符を見せてください。	Please show your ticket.
トムはメアリーを追いかけた。	Tom chased Mary.
君が正しいような気がする。	It appears to me that you are right.
あなたが手伝ってくれなければ終わらせられないだろう。	I won't be able to finish if you don't help me.
トムは何が本当に起こっているのか知っている。	Tom knows what's really going on.
トムは年齢を偽っているんですか？	Is Tom lying about his age?
布は鮮やかな赤色に染められた。	The cloth was dyed bright red.
先生は、私がいくらか体重を減らす必要があると言った。	My doctor told me that I needed to lose some weight.
私がちょうど寝ようとしていたときに電話がなった。	I was about to go to bed when the phone rang.
容疑者は逮捕を免れたいと思った。	The suspect wanted to avoid being arrested.
青い外套を着ている女の子は私の娘です。	The girl in the blue coat is my daughter.
トムは何があっても行くつもりだ。	"Tom intends to go, rain or shine."
それで全部？	Is that everything?
僕はベジタリアンだ。	I am a vegetarian.
たぶん知らぬ間に遺伝子組み換えの果物や野菜をいつも食べているんだろうな。	You probably eat genetically modified fruits and vegetables all the time without knowing it.
私は彼と知り合いです。	I am acquainted with him.
駅に着いたよ。	I arrived at the station.
ほとんどすべてのイヌが生きています。	Almost all of the dogs are alive.
昨日の夜はトムと飲みに行ってたよ。	I went drinking last night with Tom.
トムは決してメアリーを傷つけることはない。	Tom would never hurt Mary.
ボストンがこんなに暑いとは思わなかった。	I didn't think Boston would be this hot.
このスーツケースを運ぶのを手伝ってもらえませんか。	Would you mind helping me carry this suitcase?
何で誰も私のサイトに来てくれないのかな？	Why is nobody visiting my website?
嵐はいつまで続くのだろうか。	How long will the storm last?
たった５０ドルで、しかも靴クリームを２缶おまけいたします。	They're only $50 with two cans of shoe polish free of charge.
私はそれが奇妙だとは思いません。	I don't think that it's odd.
会合をできる限り早急に開催することを我々は要求する。	We insist that a meeting be held as soon as possible.
もう帰ってもよろしいでしょうか。	Will you permit us to leave now?
「アー」といってください。	"Say ""aah."""
私は6時に起きた。	I got up at six o'clock.
あなたには癌があります。	You have cancer.
一週間入院していたです。	I spent a week in the hospital.
誰か携帯の充電器持ってない？	Does anyone have a mobile phone charger?
日本は世界有数の経済大国である。	Japan is one of the greatest economic powers in the world.
背中を洗ってくださいよ。	Please wash my back.
彼女は来週パーティーを催す。	She will give a party next week.
女の子は２人とも白いスーツを着ている。	Both of the girls are wearing white suits.
トムとメアリーには３人の息子がいる。	Tom and Mary have three sons.
このような状況が二度と起こるなんてあり得ないと思う。	I think it's unlikely that a situation like this one would ever occur again.
彼は本を読みながらよく何時間もすわっている。	He often sits for many hours reading books.
ケニアはかつてイギリスの植民地であった。	Kenya used to be a British colony.
メアリーは熱々のコーヒーが好きだけど、トムはぬるめが好きなんだ。	"Mary likes her coffee steaming hot, while Tom likes his lukewarm."
犬と猫どっちが好き？	"Which do you prefer, dogs or cats?"
私は今朝7時に起きた。	I got up at seven in the morning.
急いでいるんですけど。	We've really got to step on it.
みんな嫌い。	I dislike them all.
私は小さすぎた。	I was too small.
ここに何かがある。	There's someone there.
わたしはそこへ行きたかった。	I wanted to go there.
２０マイルは、歩くのに長い距離だ。	Twenty miles is a long distance to walk.
学生時代に出来るだけ多くの本を読むようにしなさい。	Read as many books as you can while you are a student.
彼女に求婚するつもりだ。	I'm going to propose to her.
財布が盗まれた。	My wallet's been stolen.
